title,company,location,date,link,description
STAGE - Data Scientist : Evaluer et développer des approches IA,TotalEnergies,Europe,2024-08-13,https://fr.linkedin.com/jobs/view/stage-data-scientist-evaluer-et-d%C3%A9velopper-des-approches-ia-at-totalenergies-4000302538?position=1&pageNum=0&refId=XmE5bJFgeSdpuU79Fh%2BVXw%3D%3D&trackingId=7iXrw1Gw2l1Pw5pDw%2BAoRw%3D%3D&trk=public_jobs_jserp-result_search-card,"TotalEnergies est une compagnie multi-énergies mondiale de production et de fourniture d'énergies : pétrole et biocarburants, gaz naturel et gaz verts, renouvelables et électricité. Ses 105 000 collaborateurs s'engagent pour une énergie toujours plus abordable, propre, fiable et accessible au plus grand nombre. Présent dans plus de 130 pays, TotalEnergies inscrit le développement durable dans toutes ses dimensions au cœur de ses projets et opérations pour contribuer au bien-être des populations.


Notre équipe recherche son.sa stagiaire à Pau (64), pour une durée de 6 mois à compter de septembre 2024, en tant que :

Data Scientist : Evaluer et développer des approches IA

Dans le cadre de sa politique Diversité, TotalEnergies étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.


TotalEnergies est un acteur majeur de la transition énergétique qui investit dans les énergies renouvelables.

Dans un contexte de mutation technologique et de transformation digitale, vous travaillerez avec une équipe de collaborateurs expérimentés et dynamiques au sein du DataLab. Le DataLab est un programme transverse dont le but est de faciliter la gestion documentaire en se basant sur les technologies pointues des Data Sciences et de l'Intelligence Artificielle: classification, gestion des métadonnées, traitement naturel du langage etc.


Le/La candidate aura pour objectif d'accompagner les équipes du DataLab dans la réalisation de briques techniques afin de répondre aux besoins des Data Managers, dans le domaine de la géo information et des géosciences.

Le/La candidate sera intégré(e) dans une équipe pluridisciplinaire (data managers, chef de projets systèmes d'information, IT spécialistes, Product owners, Data Scientists expérimentés). Selon les cas d'utilisations, le/la candidate aura accès à des ressources puissantes et des briques techniques spécifiques pour lancer les calculs (Supercalculateur Pangea, Cloud, Outils LC/NC...).

Le/La candidate sera invité(e) aux différentes points de rencontres des équipes: avancements, arbitrages, partenaires...

D'un point de vue technique, le/la candidate participera :

- Au développement et aux tests d'algorithmes de Deep Learning et Machine Learning, ainsi qu'aux activités de Data engineering

- A l'installation, configuration et maintenance de module IA sur la plateforme: outils d'annotation, gestion des ressources, Services web, Docker, BDD

- Aux benchmarks avec des outils LC/NC (Low Code / Nocode)

En conséquence, le/la candidate apportera une véritable valeur ajoutée par son analyse et ses réalisations. Il/Elle bénéficiera de toute l'expérience et l'accompagnement d'une équipe dynamique en mode ""start-up"", AGILE et flexible dans sa méthodologie.


Vous possédez un parcours en IT et/ou en Data et êtes à la recherche de votre stage de fin d'études ?

Vous savez programmer, notamment en Python, et êtes familier(e) avec l'environnement Linux ?

Vous avez une attirance toute particulière pour le domaine de l'Intelligence Artificielle ?

Vous avez des notions / des compétences en traitement d'images, en Computer vision et en NLP (Natural Language Processing) ?

Vous avez l'esprit critique, êtes curieux(se), et aimez travailler en équipe ?

Alors n'attendez plus, postulez pour rejoindre nos équipes à Pau !

Show more "
Ingénieur électronique de puissance PAU H/F,Capgemini Engineering,Europe,2024-08-26,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-%C3%A9lectronique-de-puissance-pau-h-f-at-capgemini-engineering-4007697408?position=2&pageNum=0&refId=XmE5bJFgeSdpuU79Fh%2BVXw%3D%3D&trackingId=L%2BTwslH211ExvYm9FYg43A%3D%3D&trk=public_jobs_jserp-result_search-card,"Description du poste :

 

 

Afin d’accompagner notre développement sur notre agence de Pau (64), qui intervient pour un grand donneur d’ordre ferroviaire, nous recherchons un(e) Ingénieur électronique de puissance.  

Vos missions principales seront les suivantes :  

Développer les appels d'offres, les produits, les projets ou la R&D 

Calculer les contraintes électriques ou thermiques liées à tous les composants du schéma de puissance (utiliser les outils MATLAB, SABER, MATHCAD) pour répondre à toutes les exigences du client et normatives 

Rédiger les rapports de conception correspondants 

Définir les interfaces des composants électriques avec le département mécanique 

Spécifier les composants électriques de la chaîne de traction ou des convertisseurs auxiliaires 

Description du profil :

 

Diplôme d'ingénieur ou bac+5 dans le domaine électrotechnique ou génie électrique de préférence  

Un background électrotechnique 

Une expérience de 3 ans minimum dans le domaine de la puissance sur plusieurs projets dans le secteur du transport 

Une maîtrise de l'anglais (écrit et oral) 

Une créativité et proactivité 

Nous proposons :

3 raisons de nous rejoindre:

 

Qualité de vie au travail : accord de télétravail en France et à l’international, accord sur l’égalité professionnelle, la parentalité, l’équilibre des temps et la mobilité durable. 

Apprentissage en continu : certifications et formations en libre accès, accompagnement sur mesure avec votre Career Manager, parcours d’intégration sur 9 mois.

Avantages groupe & CSE : plan actionnariat, activités à tarifs préférentiels, remboursement partiel vacances, remboursement de votre abonnement sportif ou culturel.

Show more "
