title,company,location,date,link,description
Ingénieur réservoirs débutant (data science) - F/H,TotalEnergies,Europe,2024-08-12,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-r%C3%A9servoirs-d%C3%A9butant-data-science-f-h-at-totalenergies-3999707647?position=1&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=CwRc%2Btc%2FF5oe1qv%2FQLV%2BJg%3D%3D&trk=public_jobs_jserp-result_search-card,"TotalEnergies est une compagnie multi-énergies mondiale de production et de fourniture d'énergies : pétrole et biocarburants, gaz naturel et gaz verts, renouvelables et électricité. Ses 105 000 collaborateurs s'engagent pour une énergie toujours plus abordable, propre, fiable et accessible au plus grand nombre. Présent dans plus de 130 pays, TotalEnergies inscrit le développement durable dans toutes ses dimensions au cœur de ses projets et opérations pour contribuer au bien-être des populations.


Les méthodes d'analyse des courbes de déclin ont été utilisées intensivement au cours des 75 dernières années. Elles restent l'une des principales méthodes de calcul des réserves chez TotalEnergies, en particulier pour les champs avec un long historique et un grand nombre de puits.

Avec les progrès de l'intelligence artificielle, l'objectif du ""Fast Reservoir Forcast"" (FRF) est d'explorer des analyses avancées de données et des algorithmes d'apprentissage automatique pour générer des prévisions de production robustes.

Vous serez intégré.e au sein de l'équipe FRF, faisant partie de la Division Géosciences et Réservoir de TotalEnergies. Vous travaillerez en contact avec nos filiales, des ingénieurs réservoirs mais aussi des data scientist.




Les missions du poste seront :

d'utiliser l'application web ""Fast Reservoir Forecaster"" (FRF) dans le cadre des études de réservoir,
de former de nouveaux utilisateurs à l'utilisation de l'application web FRF en faisant des démonstrations,
d'explorer de nouvelles méthodes d'analyse basées sur les données dans le cadre d'études de synthèse 2G&R.




Nous recherchons au CSTJF à Pau (64000), un.e Ingénieur réservoirs débutant (data science) - F/H à partir d'octobre 2024.

Vous êtes récemment diplômé.e d'un Bac +5 ? Débutez votre carrière au sein d'une entreprise engagée aux multiples facettes et venez apprendre auprès d'équipes internationales expérimentées !

Fort.e de vos précédentes expériences, vous avez des compétences en ingénierie des réservoirs ?

Des compétences en Data Science et en intelligence artificielle (dont le machine learning) seraient fortement appréciées.

Vous avez une bonne maitrise du Pack Office ainsi que des connaissances en Python ?

Vous êtes force de proposition, avez un bon esprit d'équipe et savez communiquer efficacement ?

Un niveau d'anglais intermédiaire à avancé est requis pour ce poste.

Dans le cadre de sa politiqueDiversité, TotalEnergies étudie, à compétences égales, toutes candidatures dontcelles de personnes en situation de handicap.

Nous vous proposons un Contrat de Professionnalisation Temps Plein qualifiant de 12 mois (100% en entreprise) incluant 15% de formation interne (métier, linguistique, outils…) dispensée par des organismes sélectionnés par TotalEnergies. Ce contrat vous permettra d'acquérir une année d'expérience professionnelle tout en étant formé aux spécificités de votre métier en lien avec les activités de la Compagnie. Un réel atout pour booster votre employabilité !

Pour postuler à cette offre, vous devez impérativement posséder à la date d'embauche, un titre de séjour valide pour la période couverte par cette offre (minimum 13 mois). Attention, la conclusion de ce contrat de professionnalisation temps plein ne permet pas la délivrance d'un titre de séjour (article R.52221-6 du Code du travail).

Ce poste ne s'adresse pas aux personnes recherchant une alternance avec une école ou une formation diplômante, mais aux personnes récemment diplômées à la recherche d'une première expérience professionnelle.

Show more "
STAGE - Data Scientist : Evaluer et développer des approches IA,TotalEnergies,Europe,2024-08-13,https://fr.linkedin.com/jobs/view/stage-data-scientist-evaluer-et-d%C3%A9velopper-des-approches-ia-at-totalenergies-4000302538?position=2&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=iBqFQr3230%2Bfl11%2B90rEkQ%3D%3D&trk=public_jobs_jserp-result_search-card,"TotalEnergies est une compagnie multi-énergies mondiale de production et de fourniture d'énergies : pétrole et biocarburants, gaz naturel et gaz verts, renouvelables et électricité. Ses 105 000 collaborateurs s'engagent pour une énergie toujours plus abordable, propre, fiable et accessible au plus grand nombre. Présent dans plus de 130 pays, TotalEnergies inscrit le développement durable dans toutes ses dimensions au cœur de ses projets et opérations pour contribuer au bien-être des populations.


Notre équipe recherche son.sa stagiaire à Pau (64), pour une durée de 6 mois à compter de septembre 2024, en tant que :

Data Scientist : Evaluer et développer des approches IA

Dans le cadre de sa politique Diversité, TotalEnergies étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.


TotalEnergies est un acteur majeur de la transition énergétique qui investit dans les énergies renouvelables.

Dans un contexte de mutation technologique et de transformation digitale, vous travaillerez avec une équipe de collaborateurs expérimentés et dynamiques au sein du DataLab. Le DataLab est un programme transverse dont le but est de faciliter la gestion documentaire en se basant sur les technologies pointues des Data Sciences et de l'Intelligence Artificielle: classification, gestion des métadonnées, traitement naturel du langage etc.


Le/La candidate aura pour objectif d'accompagner les équipes du DataLab dans la réalisation de briques techniques afin de répondre aux besoins des Data Managers, dans le domaine de la géo information et des géosciences.

Le/La candidate sera intégré(e) dans une équipe pluridisciplinaire (data managers, chef de projets systèmes d'information, IT spécialistes, Product owners, Data Scientists expérimentés). Selon les cas d'utilisations, le/la candidate aura accès à des ressources puissantes et des briques techniques spécifiques pour lancer les calculs (Supercalculateur Pangea, Cloud, Outils LC/NC...).

Le/La candidate sera invité(e) aux différentes points de rencontres des équipes: avancements, arbitrages, partenaires...

D'un point de vue technique, le/la candidate participera :

- Au développement et aux tests d'algorithmes de Deep Learning et Machine Learning, ainsi qu'aux activités de Data engineering

- A l'installation, configuration et maintenance de module IA sur la plateforme: outils d'annotation, gestion des ressources, Services web, Docker, BDD

- Aux benchmarks avec des outils LC/NC (Low Code / Nocode)

En conséquence, le/la candidate apportera une véritable valeur ajoutée par son analyse et ses réalisations. Il/Elle bénéficiera de toute l'expérience et l'accompagnement d'une équipe dynamique en mode ""start-up"", AGILE et flexible dans sa méthodologie.


Vous possédez un parcours en IT et/ou en Data et êtes à la recherche de votre stage de fin d'études ?

Vous savez programmer, notamment en Python, et êtes familier(e) avec l'environnement Linux ?

Vous avez une attirance toute particulière pour le domaine de l'Intelligence Artificielle ?

Vous avez des notions / des compétences en traitement d'images, en Computer vision et en NLP (Natural Language Processing) ?

Vous avez l'esprit critique, êtes curieux(se), et aimez travailler en équipe ?

Alors n'attendez plus, postulez pour rejoindre nos équipes à Pau !

Show more "
Commercial Terrain TPE / PME (H/F),METEOJOB by CleverConnect,Europe,2024-08-20,https://fr.linkedin.com/jobs/view/commercial-terrain-tpe-pme-h-f-at-meteojob-by-cleverconnect-4005532559?position=3&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=k3Ooxv0zFKxegevr%2Boi9rw%3D%3D&trk=public_jobs_jserp-result_search-card,"Entreprise

Êtes-vous prêt pour un nouveau défi ?

Vous souhaitez contribuer au développement de l'économie locale en aidant les entreprises du quotidien à optimiser leur stratégie digitale ?

En tant que premier acteur français du marketing digital, nous sommes le partenaire principal des entreprises locales en France. Chaque jour, nous conseillons plus de 260 000 entreprises clientes pour booster leur activité en les connectant à leurs clients grâce à des services digitaux innovants.

Pourquoi nous rejoindre ?

Nous offrons un environnement dynamique et motivant et mettons à votre disposition de nombreux moyens, dispositifs et des outils :


Un programme d'onboarding d'intégration de plusieurs semaines (culture digitale, outils, produits, services, démarche commerciale…)
Un manager de proximité et des coachs commerciaux pour vous aider à développer vos compétences
Un programme de formation continue
Des outils modernes (SalesForce, MAPS…) pour vous aider à prospecter
Des dispositifs utilisant l'intelligence artificielle pour vous aider à générer des nouveaux clients.


Vous Bénéficierez Également


D'un package attractif
D'une voiture de fonction
D'un téléphone de prêt
D'un dispositif d'épargne salariale
De primes annuelles
D'avantages CSE (après 1 an d'ancienneté)
D'aides Action Logement (déménagement, financements, travaux...)
D'une carte ticket-restaurant
D'une mutuelle et d'une retraite supplémentaire.


Description Du Poste

En tant que Commercial Terrain TPE-PME, vous développerez les ventes digitales sur votre périmètre. Vous accompagnerez les 4,7 millions de professionnels français dits de proximité en répondant à leurs principaux enjeux : être plus visible sur le web, développer leur activité et être accompagné dans leur transformation digitale.

Description Du Profil

Vous êtes un profil ""chasseur"" avec une expérience de vente en cycle court d'au moins 3 ans.

Vous recherchez un job sur un marché en devenir, avec du sens et de multiples perspectives d'évolution : management, coaching, Key Account Management, consultant en marketing…
Show more "
Commercial Terrain TPE / PME (H/F),METEOJOB by CleverConnect,Europe,2024-08-20,https://fr.linkedin.com/jobs/view/commercial-terrain-tpe-pme-h-f-at-meteojob-by-cleverconnect-4005531774?position=4&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=IRyqlcgUoQR98otDha25uw%3D%3D&trk=public_jobs_jserp-result_search-card,"Entreprise

Êtes-vous prêt pour un nouveau défi ?

Vous souhaitez contribuer au développement de l'économie locale en aidant les entreprises du quotidien à optimiser leur stratégie digitale ?

En tant que premier acteur français du marketing digital, nous sommes le partenaire principal des entreprises locales en France. Chaque jour, nous conseillons plus de 260 000 entreprises clientes pour booster leur activité en les connectant à leurs clients grâce à des services digitaux innovants.

Pourquoi nous rejoindre ?

Nous offrons un environnement dynamique et motivant et mettons à votre disposition de nombreux moyens, dispositifs et des outils :


Un programme d'onboarding d'intégration de plusieurs semaines (culture digitale, outils, produits, services, démarche commerciale…)
Un manager de proximité et des coachs commerciaux pour vous aider à développer vos compétences
Un programme de formation continue
Des outils modernes (SalesForce, MAPS…) pour vous aider à prospecter
Des dispositifs utilisant l'intelligence artificielle pour vous aider à générer des nouveaux clients.


Vous Bénéficierez Également


D'un package attractif
D'une voiture de fonction
D'un téléphone de prêt
D'un dispositif d'épargne salariale
De primes annuelles
D'avantages CSE (après 1 an d'ancienneté)
D'aides Action Logement (déménagement, financements, travaux...)
D'une carte ticket-restaurant
D'une mutuelle et d'une retraite supplémentaire.


Description Du Poste

En tant que Commercial Terrain TPE-PME, vous développerez les ventes digitales sur votre périmètre. Vous accompagnerez les 4,7 millions de professionnels français dits de proximité en répondant à leurs principaux enjeux : être plus visible sur le web, développer leur activité et être accompagné dans leur transformation digitale.

Description Du Profil

Vous êtes un profil ""chasseur"" avec une expérience de vente en cycle court d'au moins 3 ans.

Vous recherchez un job sur un marché en devenir, avec du sens et de multiples perspectives d'évolution : management, coaching, Key Account Management, consultant en marketing…
Show more "
INGÉNIEUR(E) EN INTELLIGENCE ARTIFICIELLE (H/F) (F/H),Expectra,Europe,2024-08-06,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-e-en-intelligence-artificielle-h-f-f-h-at-expectra-3994984050?position=5&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=dfrz89stDnuKzFSrn8vXCA%3D%3D&trk=public_jobs_jserp-result_search-card,"Nous recrutons pour nos clients qui vous proposent des postes en CDI. Expectra, cabinet de recrutement spécialisé en CDI de cadres et agents de maîtrise (nous ne sommes ni une ESN ni une SII). Notre objectif : mettre en relation les candidats et les entreprises. Nous recherchons pour le compte de notre client un(e) Ingénieur(e) en Intelligence Artificielle (LLM). Vous intégrerez en CDI l'équipe de notre client. L'entreprise : Notre client a pour objectif de transformer les outils professionnels grâce à des solutions SaaS automatisant les tâches. Leur concept : laisser l'IA gérer les tâches à faible valeur ajoutée pour que les humains puissent se concentrer sur des missions à haute valeur ajoutée. En pleine expansion (chiffre d'affaires triplant chaque année), leur ambition de devenir les leaders de leur secteur les incite à recruter pour renforcer leur équipe technique et ainsi faire progresser l'entreprise. De plus, la cellule IA est naissante, une réelle opportunité afin de devenir le ""pilier IA"" de la société. Mission :

Vous jouerez un rôle déterminant dans le développement et la mise en œuvre de solutions basées sur des modèles de langage (LLM). Vous serez responsable de l'intégration et de l'adaptation de solutions d'IA existantes pour répondre aux besoins spécifiques de nos projets. Responsabilités : - Évaluer et optimiser les modèles de langage pour différentes applications (LLM, NLP, Intelligence Artificielle).


Mettre en place des architectures utilisant la technique RAG et effectuer le fine tuning de modèles existants (Machine Learning)..
Adapter et intégrer des solutions IA prêtes à l'emploi selon les exigences des projets (Solutions IA, Intégration IA).
Travailler en étroite collaboration avec les équipes de développement pour implémenter des solutions IA de manière efficace et évolutive (Développement, Collaboration, IA scalable).
Effectuer une veille technologique pour identifier les nouvelles tendances et opportunités.
Rédiger des documents techniques et former les équipes internes sur les solutions IA développées. Évolution :


Leur politique RH vous assure un accompagnement personnalisé, vous permettant de progresser et d'évoluer selon vos aspirations professionnelles. Rejoindre cette entreprise entreprise, c'est bénéficier d'une formation continue, d'un plan de carrière sur mesure et d'un management de proximité. Package :


CDI basé à Pau
Rémunération : fixe selon expérience + variable + intéressement
Statut cadre
Ticket restaurant
Restaurant d'entreprise
Centre de formation interne
RTT
Mise en place d'un CSE en cours
Télétravail possible 2 jours par semaine Profil recherché :
Diplôme en informatique, intelligence artificielle, data science ou domaine connexe.
Expérience démontrée dans le développement et l'optimisation de modèles de langage (stage, alternance, projet, CDD/CDI).
Compétence en fine tuning de modèles.
Expertise en intégration de solutions IA prêtes à l'emploi.
Maîtrise de Python et des frameworks/bibliothèques comme TensorFlow, PyTorch, Keras.
Connaissances en traitement du langage naturel (NLP).
Compétences en data science et expérience en déploiement de modèles en production. Processus de recrutement :
Premier entretien avec le responsable de l'équipe IA.
Rencontre avec l'un des deux cofondateurs.
Show more "
Geophysics R&D Project Leader (M/F),TotalEnergies,Europe,2024-08-29,https://fr.linkedin.com/jobs/view/geophysics-r-d-project-leader-m-f-at-totalenergies-3995799105?position=6&pageNum=0&refId=TvwcffZrU2hFlnp7H19piw%3D%3D&trackingId=cvSvfUPyCnSrmxW8IQz%2B0g%3D%3D&trk=public_jobs_jserp-result_search-card,"Profil du candidat

Master’s degree or PhD in Geophysics/Physics/Applied Maths involving numerical computation

Minimum 8 Years Of Experience

Strong theoretical and/or practical background in one or more of the following: elastic, acoustic or electromagnetic wave modelling, seismic imaging, geophysical inversion, signal processing and numerical analysis .

Familiar with the general principles of oil exploration, geophysics, wave propagation, seismic data processing, inverse theory, reservoir characterizati on and interpretation.

Well-developed skills in scientific programming using Fortran, C or C++. Experience with HPC (parallel programming) and/or Python would be an advantage.

Fluent in either English or French, with working knowledge of the other.

Machine learning skills are considered a plus for the position

Activités


Conduct research in the field of seismic imaging and inversion for application to hydrocarbon exploration and production or CO2 storage monitoring. This will be centred on the technology of Full Waveform Inversion but may also include investigation of techniques from the emerging fields of machine learning and artificial intelligence.
Develop research ideas into practicable software prototypes and conduct studies to test/validate these by application to synthetic and real datasets.
Transfer the technology to operational teams, in collaboration with their technology development and application team, including adequate documentation, in accordance with current procedures.
Promote successful workflows and tools by internal reports and presentations and, e.g., training initiatives to raise awareness of and encourage use of the new technology.
Collaborate with other team members to optimize the implementation of the resulting concepts and tools and to ensure mutual benefits from advances in, for example, multiparameter optimization techniques.
Aid in definition and selection of external collaborations and participate in following them up, including participation in the supervision of postdocs and PhD students, reporting of consortium activities and technology testing and transfer.
Make conference presentations and publish articles in order to enhance the Company’s reputation in the professional and academic community.



Contexte et environnement

To succeed in its strategic ambition to broaden its portfolio from purely hydrocarbons to include electricity and renewable energies, TotalEnergies created a new entity, OneTech, which combines all the corporate technical expertise and R&D from our various branches. OneTech will be one of the key drivers of TotalEnergies’ transformation into a multi energy company, while maintaining the foundational technical expertise in the disciplines that underpinned its original success in the energy business. As part of this strategy, the Company is looking to recruit a Geophysics R&D project leader (M/F) to help it remain at the forefront of emerging technology in subsurface imaging. The position will be located in Pau (France).
Show more "
